trial_index,seed,x_meters,y_meters,distance_meters,bearing_degrees
0,1013974492,9.7904,16.4504,19.1434,59.24
1,269956445,5.6227,17.7375,18.6074,72.41
2,820757447,20.5276,-10.5812,23.0942,332.73
3,1030345537,-1.9563,-14.8953,15.0233,262.52
4,1705168306,11.7610,-23.2245,26.0327,296.86
5,2015933876,10.0456,21.9307,24.1220,65.39
6,994927366,3.6561,-0.3413,3.6720,354.67
7,333315905,30.4395,16.7143,34.7265,28.77
8,378854319,5.0821,10.3050,11.4900,63.75
9,814409280,8.3709,-22.1656,23.6936,290.69
10,1861156884,-1.9965,-13.0575,13.2093,261.31
11,20355781,38.1977,1.8236,38.2412,2.73
12,176232580,8.0257,-20.4636,21.9812,291.41
13,1225629141,15.2059,-8.3920,17.3680,331.11
14,1866014145,9.4013,-18.2597,20.5378,297.24
15,606174148,1.4378,4.1350,4.3778,70.83
16,1048126032,9.9520,10.2180,14.2636,45.76
17,1898767843,7.2176,-13.4911,15.3005,298.15
18,2048950535,11.8490,-13.1580,17.7068,312.00
19,488986197,4.7007,18.0465,18.6486,75.40
20,371482946,1.4203,-0.5745,1.5321,337.98
21,1817852611,24.1103,21.5847,32.3606,41.84
22,1435243999,26.5355,-19.9359,33.1900,323.08
23,63996685,32.9500,-0.6673,32.9568,358.84
24,1815275959,24.4707,-4.0989,24.8116,350.49
25,118474897,26.4483,0.6407,26.4561,1.39
26,620027774,7.2283,7.2810,10.2597,45.21
27,680829544,21.5498,13.3459,25.3478,31.77
28,382048726,-5.1735,7.5569,9.1581,124.40
29,932612814,25.8932,9.4465,27.5626,20.04
30,567656167,26.6227,13.4183,29.8131,26.75
31,450627427,23.7220,-13.2131,27.1536,330.88
32,1276033224,8.7800,-13.1465,15.8088,303.74
33,1431135438,-1.6387,-7.6763,7.8493,257.95
34,717007474,0.0047,-11.0307,11.0307,270.02
35,417704660,33.4930,-4.6488,33.8141,352.10
36,2069429566,24.3722,-5.1531,24.9110,348.06
37,1593423003,8.9674,-17.1931,19.3911,297.55
38,214701266,27.8368,7.7634,28.8991,15.58
39,1372234190,-4.2605,-10.2470,11.0974,247.42
40,322181835,25.6992,9.7861,27.4994,20.85
41,105507571,5.4787,-12.5873,13.7279,293.52
42,899360043,14.2617,-13.9544,19.9529,315.62
43,2026558851,18.6266,12.7014,22.5450,34.29
44,282929757,35.8263,-12.6662,37.9994,340.53
45,661155048,7.0075,4.5069,8.3317,32.75
46,1569696671,13.2424,8.4638,15.7161,32.58
47,142525726,24.3726,-7.2609,25.4312,343.41
48,1721079366,13.1688,10.8226,17.0454,39.41
49,80197792,6.1267,4.9116,7.8524,38.72
50,359794699,7.2876,4.8067,8.7300,33.41
51,1839383203,-0.6871,2.9900,3.0679,102.94
52,1490612750,25.7833,-1.8292,25.8481,355.94
53,1364902251,28.4577,4.5505,28.8192,9.08
54,4181374,2.0627,16.6769,16.8040,82.95
55,1343605528,20.8827,-13.3553,24.7881,327.40
56,982196093,18.2517,18.4028,25.9189,45.24
57,756760762,0.8191,-7.2380,7.2842,276.46
58,1362553225,1.5970,9.6473,9.7786,80.60
59,1586693409,0.4122,4.5716,4.5902,84.85
60,1395906102,3.6007,-13.1645,13.6481,285.30
61,314097822,29.1235,8.1544,30.2436,15.64
62,2098750826,-2.8350,11.7953,12.1312,103.51
63,1593725152,34.2688,-1.3479,34.2953,357.75
64,246753113,9.6198,8.8087,13.0436,42.48
65,1410529457,3.3879,1.6243,3.7571,25.61
66,891806204,26.5181,4.1780,26.8452,8.95
67,892580789,18.1093,-6.6973,19.3080,339.70
68,508621667,23.0908,-6.3382,23.9449,344.65
69,1448309485,-4.6400,3.5487,5.8415,142.59
70,684228229,15.7601,22.7962,27.7137,55.34
71,1602186676,7.1362,13.1059,14.9228,61.43
72,1684066577,4.3609,17.9779,18.4993,76.36
73,676716345,22.2015,-8.8970,23.9179,338.16
74,166804362,22.2801,-3.0288,22.4851,352.26
75,265975375,-1.7428,-8.4894,8.6665,258.40
76,918492568,22.1264,11.8503,25.1000,28.17
77,1556168795,3.4591,9.3430,9.9628,69.68
78,1928550575,18.3733,-15.6700,24.1480,319.54
79,1154120911,12.4144,8.6856,15.1512,34.98
80,696261873,4.8509,0.7992,4.9163,9.36
81,477502048,21.4218,17.3635,27.5751,39.03
82,1107233825,7.6899,-6.6634,10.1752,319.09
83,301850934,14.6964,-17.8652,23.1333,309.44
84,572818115,3.1364,5.1409,6.0221,58.61
85,875756611,-1.9560,15.9165,16.0362,97.01
86,1107498324,6.9581,-5.0948,8.6239,323.79
87,2058614620,0.4805,14.5055,14.5134,88.10
88,1426954064,31.3712,-6.7221,32.0833,347.91
89,1520885593,5.6669,0.0063,5.6669,0.06
90,1582992214,-7.1184,2.1502,7.4361,163.19
91,1312668804,29.5722,9.9032,31.1864,18.51
92,230869778,37.2920,5.3979,37.6806,8.24
93,775491504,1.4714,17.4998,17.5615,85.19
94,2123811735,8.4609,-8.4436,11.9533,315.06
95,8084013,14.5024,-20.4790,25.0940,305.30
96,154240392,27.9349,-2.1427,28.0170,355.61
97,1453118538,-0.5390,0.4466,0.7000,140.35
98,1779805738,6.8842,-4.8258,8.4072,324.97
99,1019883947,22.1861,17.2770,28.1197,37.91
100,1916832491,27.1386,8.6487,28.4834,17.68
101,677115882,30.0960,16.4512,34.2989,28.66
102,1781387706,10.8732,-22.6262,25.1032,295.67
103,272769881,2.6540,-0.5883,2.7184,347.50
104,1543453210,19.1743,-4.9122,19.7935,345.63
105,905091670,17.5895,-14.7627,22.9637,319.99
106,155316626,24.0433,-13.1408,27.4000,331.34
107,813896405,23.6743,-20.1296,31.0752,319.63
108,1198097889,17.2652,-9.6714,19.7895,330.74
109,1885689646,-7.7783,-0.1028,7.7790,180.76
110,425112960,-4.1027,10.4163,11.1952,111.50
111,1573510945,5.5270,-2.6573,6.1326,334.32
